City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
542,Sakakah,29.9697,40.2064,60.37,39,88,8.99,SA,2021-12-05 22:53:34
543,Alugan,12.2188,125.4808,79.03,78,65,13.49,PH,2021-12-05 22:53:34
544,Oksfjord,70.2396,22.3479,29.32,77,48,9.24,NO,2021-12-05 22:53:34
545,Todos Santos,23.45,-110.2167,81.01,73,99,10.96,MX,2021-12-05 22:53:35
546,Ozinki,51.1786,49.6769,28.65,96,98,11.54,RU,2021-12-05 22:53:35
547,Puerto Narino,-3.7703,-70.3831,82.35,97,100,1.9,CO,2021-12-05 22:53:35
548,Maragogi,-9.0122,-35.2225,77.31,87,51,8.7,BR,2021-12-05 22:53:36
549,Taft,31.7471,54.2088,44.55,29,40,4.61,IR,2021-12-05 22:53:36
550,Las Vegas,36.175,-115.1372,76.82,14,20,3.0,US,2021-12-05 22:50:17
551,Katherine,-14.4667,132.2667,79.12,83,90,8.05,AU,2021-12-05 22:53:41
552,Zhuhai,22.2769,113.5678,63.99,63,0,14.97,CN,2021-12-05 22:54:37
553,Umea,63.8284,20.2597,-2.27,92,75,5.75,SE,2021-12-05 22:52:29
554,Luderitz,-26.6481,15.1594,60.75,88,0,10.04,NA,2021-12-05 22:54:37
555,Shache,38.4167,77.2406,29.34,34,100,1.9,CN,2021-12-05 22:54:37
556,Kazanskoye,55.6448,69.235,28.67,96,100,6.58,RU,2021-12-05 22:54:38
557,Doha,25.2867,51.5333,66.18,65,0,2.3,QA,2021-12-05 22:54:38
558,Launceston,-41.45,147.1667,63.61,69,90,3.0,AU,2021-12-05 22:54:38
559,Poronaysk,49.2167,143.1167,15.33,96,74,2.77,RU,2021-12-05 22:54:39
560,Saint-Joseph,-21.3667,55.6167,75.56,79,42,9.53,RE,2021-12-05 22:54:39
561,Lokosovo,61.1333,74.8167,-4.36,100,93,4.63,RU,2021-12-05 22:54:39
562,Port Macquarie,-31.4333,152.9167,69.89,69,99,6.2,AU,2021-12-05 22:54:39
563,Ust-Kuyga,70.0167,135.6,-24.59,100,100,3.15,RU,2021-12-05 22:54:40
564,Baracoa,20.3467,-74.4958,77.65,88,55,9.42,CU,2021-12-05 22:54:40
565,Fuerte Olimpo,-21.0415,-57.8738,80.04,57,60,5.01,PY,2021-12-05 22:54:40
566,Dunedin,-45.8742,170.5036,54.81,66,97,3.0,NZ,2021-12-05 22:52:38
567,Tautira,-17.7333,-149.15,86.02,74,80,16.37,PF,2021-12-05 22:54:41
